classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
131466085,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:12:43 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:12:00.793Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:12:43.370Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519699"":{""retired"":null,""Num"":""194"",""#team"":""AbbyDonovanJackie"",""Habitat"":""Hemlock"",""Image_1"":""18_EK000136.JPG"",""Image_2"":""18_EK000137.JPG"",""Image_3"":""18_EK000138.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""18""}}",27519699
131466160,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:13:10 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:12:45.356Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:13:10.071Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519626"":{""retired"":null,""Num"":""121"",""#team"":""SamAiden"",""Habitat"":""Deciduous"",""Image_1"":""03_EK000974.JPG"",""Image_2"":""03_EK000975.JPG"",""Image_3"":""03_EK000976.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""3""}}",27519626
131466385,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:14:31 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:13:17.192Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:14:31.073Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""OPOSSUM"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519619"":{""retired"":null,""Num"":""114"",""#team"":""SamAiden"",""Habitat"":""Deciduous"",""Image_1"":""03_EK000953.JPG"",""Image_2"":""03_EK000954.JPG"",""Image_3"":""03_EK000955.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""3""}}",27519619
131466465,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:14:58 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:14:33.352Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:14:58.262Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519606"":{""retired"":null,""Num"":""101"",""#team"":""HollyRachelShyanne"",""Habitat"":""Pine"",""Image_1"":""10_EK000423.JPG"",""Image_2"":""10_EK000424.JPG"",""Image_3"":""10_EK000425.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""10""}}",27519606
131466529,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:15:23 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:14:59.808Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:15:23.015Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""TURKEY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519524"":{""retired"":null,""Num"":""19"",""#team"":""BrittanyGraceAbi"",""Habitat"":""Hemlock"",""Image_1"":""02_EK000163.JPG"",""Image_2"":""02_EK000164.JPG"",""Image_3"":""02_EK000165.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""2""}}",27519524
131466586,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:15:45 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:15:24.882Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:15:45.825Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},null,null]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""HUMAN"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519544"":{""retired"":null,""Num"":""39"",""#team"":""HollyRachelShyanne"",""Habitat"":""Pine"",""Image_1"":""10_EK000235.JPG"",""Image_2"":""10_EK000236.JPG"",""Image_3"":""10_EK000237.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""10""}}",27519544
131466607,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:15:57 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:15:47.372Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:15:57.348Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519652"":{""retired"":null,""Num"":""147"",""#team"":""ShannonEmma"",""Habitat"":""Pine"",""Image_1"":""15_EK000049.JPG"",""Image_2"":""15_EK000050.JPG"",""Image_3"":""15_EK000051.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""15""}}",27519652
131466650,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:16:19 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:15:58.857Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:16:19.654Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},null,null]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519667"":{""retired"":null,""Num"":""162"",""#team"":""AbbyDonovanJackie"",""Habitat"":""Hemlock"",""Image_1"":""18_EK000040.JPG"",""Image_2"":""18_EK000041.JPG"",""Image_3"":""18_EK000042.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""18""}}",27519667
131466716,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:16:50 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:16:21.446Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:16:50.784Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},null,null]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""RACCOON"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519521"":{""retired"":null,""Num"":""16"",""#team"":""BrittanyGraceAbi"",""Habitat"":""Hemlock"",""Image_1"":""02_EK000154.JPG"",""Image_2"":""02_EK000155.JPG"",""Image_3"":""02_EK000156.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""2""}}",27519521
131466744,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:17:04 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:16:52.585Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:17:04.705Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":2592,""naturalHeight"":1944}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519508"":{""retired"":null,""Num"":""3"",""#team"":""BrittanyGraceAbi"",""Habitat"":""Hemlock"",""Image_1"":""02_EK000115.JPG"",""Image_2"":""02_EK000116.JPG"",""Image_3"":""02_EK000117.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""2""}}",27519508
131466782,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:17:24 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:17:05.724Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:17:24.813Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519706"":{""retired"":null,""Num"":""201"",""#team"":""AbbyDonovanJackie"",""Habitat"":""Hemlock"",""Image_1"":""18_EK000157.JPG"",""Image_2"":""18_EK000158.JPG"",""Image_3"":""18_EK000159.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""18""}}",27519706
131466813,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:17:37 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:17:27.267Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:17:37.732Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519725"":{""retired"":null,""Num"":""220"",""#team"":""AbbyDonovanJackie"",""Habitat"":""Hemlock"",""Image_1"":""18_EK000214.JPG"",""Image_2"":""18_EK000215.JPG"",""Image_3"":""18_EK000216.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""18""}}",27519725
131466860,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:18:01 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:17:38.831Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:18:01.586Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519564"":{""retired"":null,""Num"":""59"",""#team"":""HollyRachelShyanne"",""Habitat"":""Pine"",""Image_1"":""10_EK000295.JPG"",""Image_2"":""10_EK000296.JPG"",""Image_3"":""10_EK000297.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""10""}}",27519564
131466882,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:18:12 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:18:02.848Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:18:11.973Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519529"":{""retired"":null,""Num"":""24"",""#team"":""BrittanyGraceAbi"",""Habitat"":""Hemlock"",""Image_1"":""02_EK000178.JPG"",""Image_2"":""02_EK000179.JPG"",""Image_3"":""02_EK000180.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""2""}}",27519529
131466932,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:18:34 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:18:13.056Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:18:34.120Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""SQUIRRELGRAY"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING""]},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""No""}]","{""27519628"":{""retired"":null,""Num"":""123"",""#team"":""SamAiden"",""Habitat"":""Deciduous"",""Image_1"":""03_EK000980.JPG"",""Image_2"":""03_EK000981.JPG"",""Image_3"":""03_EK000982.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""3""}}",27519628
131466953,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:18:47 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:18:35.906Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:18:46.919Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""No""}]","{""27519637"":{""retired"":null,""Num"":""132"",""#team"":""SamAiden"",""Habitat"":""Deciduous"",""Image_1"":""03_EK001007.JPG"",""Image_2"":""03_EK001008.JPG"",""Image_3"":""03_EK001009.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""1"",""Camera_Num"":""3""}}",27519637
131467032,barthelmess,1173819,ab8626be73ab4a0c6670,8071,Main workflow,20.19,2018-11-12 22:19:26 UTC,,,"{""source"":""api"",""session"":""d115d7086785bb51ada8f71db8b760fa01a5cda9776adb5f47fce3bf6f06bd0e"",""viewport"":{""width"":1099,""height"":610},""started_at"":""2018-11-12T22:18:48.372Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-11-12T22:19:26.554Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458},{""clientWidth"":616,""clientHeight"":462,""naturalWidth"":1944,""naturalHeight"":1458}]}","[{""task"":""T0"",""task_label"":""Is there at least 1 animal in the three photos?"",""value"":""Yes""},{""task"":""T1"",""value"":[{""choice"":""OTHERSMALLMAMMAL"",""answers"":{},""filters"":{}}]},{""task"":""T2"",""task_label"":""Does there appear to be precipitation in the photo?"",""value"":""No""},{""task"":""T3"",""task_label"":""Does the time stamp on the photo appear to correspond to the time of day in the photo?"",""value"":""Yes""}]","{""27519676"":{""retired"":null,""Num"":""171"",""#team"":""AbbyDonovanJackie"",""Habitat"":""Hemlock"",""Image_1"":""18_EK000067.JPG"",""Image_2"":""18_EK000068.JPG"",""Image_3"":""18_EK000069.JPG"",""Image_4"":"""",""Image_5"":"""",""#transect"":""2"",""Camera_Num"":""18""}}",27519676
